epoch,accuracy,loss,val_accuracy,val_loss
0,0.10765346884727478,4.6699652671813965,0.364421546459198,3.517435073852539
1,0.3682970404624939,3.213324546813965,0.5882725715637207,2.2608249187469482
2,0.49433663487434387,2.5452075004577637,0.6681457757949829,1.8078418970108032
3,0.5586930513381958,2.2194457054138184,0.7115689516067505,1.5617460012435913
4,0.6000891327857971,2.0130374431610107,0.7373613119125366,1.4127206802368164
5,0.6293069124221802,1.8600205183029175,0.7619651556015015,1.2862021923065186
6,0.6512871384620667,1.732200026512146,0.7727020382881165,1.2122372388839722
7,0.6707326769828796,1.6361523866653442,0.7903724312782288,1.118086576461792
8,0.6855445504188538,1.5524297952651978,0.8083597421646118,1.0376791954040527
9,0.6992475390434265,1.4774245023727417,0.8121235966682434,0.9927214980125427
84
